Customer_ID,Age,Gender,Product_Category,Quantity,Unit_Price,Total_Sales,Purchase_Date,Payment_Method
CUST028,55,Male,Sports,2,348.18,696.36,2025-12-29,Credit Card
CUST029,32,Male,Electronics,3,2514.75,7544.25,2025-05-02,UPI
CUST030,60,Female,Clothing,5,921.87,4609.35,2025-10-20,Net Banking
CUST031,48,Male,Beauty,4,923.56,3694.24,2025-02-19,Cash
CUST032,40,Female,Beauty,4,3482.58,13930.32,2025-01-28,Credit Card
CUST033,21,Female,Home & Kitchen,1,2862.24,2862.24,2025-04-08,Net Banking
CUST034,46,Male,Beauty,2,1258.47,2516.94,2025-05-08,Credit Card
CUST035,46,Male,Electronics,5,21031.87,105159.35,2025-02-17,Debit Card
CUST036,28,Female,Beauty,4,1012.24,4048.96,2025-07-25,Credit Card
CUST037,28,Female,Electronics,4,7217.91,28871.64,2025-08-21,UPI
CUST038,45,Female,Clothing,2,1694.53,3389.06,2025-01-30,Net Banking
CUST039,65,Male,Home & Kitchen,1,976.35,976.35,2025-09-02,Net Banking
CUST040,51,Male,Electronics,5,2738.7,13693.5,2025-04-06,Credit Card
CUST041,56,Male,Clothing,4,863.47,3453.88,2025-10-19,Debit Card
CUST042,55,Male,Sports,1,3108.81,3108.81,2025-10-26,Net Banking
CUST043,51,Female,Home & Kitchen,2,6862.4,13724.8,2025-06-10,Debit Card
CUST044,34,Female,Clothing,3,2448.96,7346.88,2025-02-07,Credit Card
CUST045,47,Male,Electronics,5,5958.33,29791.65,2025-05-16,Debit Card
CUST046,40,Male,Clothing,3,1639.44,4918.32,2025-08-13,Net Banking
CUST047,63,Female,Sports,5,352.41,1762.05,2025-10-11,UPI
CUST048,60,Male,Clothing,3,842.51,2527.53,2025-02-24,Net Banking
CUST049,27,Female,Home & Kitchen,5,2500.98,12504.9,2025-06-25,Debit Card
CUST050,61,Female,Sports,4,1982.51,7930.04,2025-01-27,Credit Card
CUST051,58,Female,Home & Kitchen,1,533.68,533.68,2025-03-08,UPI
CUST052,28,Female,Sports,4,4058.08,16232.32,2025-02-27,Credit Card
CUST053,62,Male,Sports,1,5891.79,5891.79,2025-10-26,Net Banking
CUST054,27,Female,Clothing,1,1748.81,1748.81,2025-01-21,UPI
CUST055,31,Male,Electronics,3,19678.81,59036.43,2025-07-28,Net Banking
CUST056,65,Male,Clothing,2,4888.17,9776.34,2025-04-01,Cash
CUST057,19,Male,Home & Kitchen,4,8121.23,32484.92,2025-05-08,UPI
CUST058,28,Male,Beauty,1,3462.65,3462.65,2025-04-24,Debit Card
CUST059,47,Female,Home & Kitchen,2,2617.77,5235.54,2025-12-04,Debit Card
CUST060,43,Female,Home & Kitchen,1,9685.45,9685.45,2025-05-23,UPI
CUST061,59,Female,Sports,3,6592.89,19778.67,2025-03-01,UPI
CUST062,29,Female,Electronics,1,15237.02,15237.02,2025-06-26,UPI
CUST063,45,Male,Beauty,5,922.3,4611.5,2025-01-23,Cash
CUST064,18,Male,Home & Kitchen,4,1164.75,4659.0,2025-12-07,UPI
CUST065,57,Female,Electronics,3,13072.36,39217.08,2025-12-08,Cash
CUST066,38,Female,Home & Kitchen,5,1709.23,8546.15,2025-08-04,Cash
CUST067,61,Male,Sports,5,2316.36,11581.8,2025-10-08,Credit Card
CUST068,37,Female,Clothing,4,3993.07,15972.28,2025-11-07,UPI
CUST069,47,Female,Beauty,2,2142.46,4284.92,2025-03-28,Credit Card
CUST070,36,Female,Electronics,2,17081.66,34163.32,2025-04-26,Debit Card
CUST071,27,Male,Electronics,2,24611.25,49222.5,2025-11-09,Credit Card
CUST072,47,Female,Sports,2,5112.92,10225.84,2025-07-16,Cash
CUST073,43,Male,Clothing,1,4495.5,4495.5,2025-02-24,Cash
CUST074,32,Male,Sports,4,636.46,2545.84,2025-05-08,Credit Card
CUST075,47,Male,Beauty,5,3953.99,19769.95,2025-11-01,UPI
CUST076,46,Female,Sports,4,6311.29,25245.16,2025-09-01,Cash
CUST077,34,Male,Home & Kitchen,5,5103.67,25518.35,2025-05-03,UPI
CUST078,46,Male,Home & Kitchen,2,3081.29,6162.58,2025-06-13,Net Banking
CUST079,23,Male,Clothing,2,2100.27,4200.54,2025-03-20,Debit Card
CUST080,22,Female,Beauty,3,2261.92,6785.76,2025-08-01,Credit Card
CUST081,31,Female,Beauty,5,3795.04,18975.2,2025-01-11,Net Banking
CUST082,42,Female,Electronics,3,8026.43,24079.29,2025-07-19,Cash
CUST083,52,Male,Beauty,2,1237.15,2474.3,2025-09-06,Credit Card
CUST084,42,Female,Beauty,2,3393.92,6787.84,2025-03-07,Net Banking
CUST085,52,Male,Beauty,5,2344.69,11723.45,2025-01-14,Credit Card
CUST086,59,Female,Clothing,4,1154.13,4616.52,2025-05-14,Cash
CUST087,38,Male,Beauty,3,1482.5,4447.5,2025-07-14,UPI
CUST088,44,Female,Electronics,4,28000.0,112000.0,2025-10-04,Credit Card
CUST089,40,Male,Electronics,1,19052.44,19052.44,2025-05-07,Debit Card
CUST090,19,Male,Clothing,2,2525.74,5051.48,2025-02-28,Net Banking
CUST091,31,Female,Home & Kitchen,3,2094.0,6282.0,2025-11-07,Credit Card
CUST092,28,Female,Electronics,5,1421.42,7107.1,2025-06-09,Net Banking
CUST093,61,Female,Beauty,2,488.79,977.58,2025-12-20,Debit Card
CUST094,24,Female,Sports,1,5634.72,5634.72,2025-10-17,Credit Card
CUST095,40,Female,Home & Kitchen,1,5306.63,5306.63,2025-06-24,Credit Card
CUST096,44,Female,Electronics,4,24051.06,96204.24,2025-11-22,Cash
CUST097,63,Male,Beauty,2,2988.42,5976.84,2025-11-30,UPI
CUST098,57,Female,Beauty,4,3337.79,13351.16,2025-10-31,UPI
CUST099,38,Male,Electronics,3,22135.47,66406.41,2025-05-05,Cash
CUST100,54,Female,Home & Kitchen,1,5195.91,5195.91,2025-06-16,Debit Card
CUST101,49,Male,Home & Kitchen,3,3733.22,11199.66,2025-11-02,UPI
CUST102,53,Male,Sports,2,873.61,1747.22,2025-07-28,Cash
CUST103,53,Male,Beauty,4,1903.06,7612.24,2025-01-09,Credit Card
CUST104,36,Male,Beauty,2,1363.58,2727.16,2025-10-25,UPI
CUST105,48,Female,Beauty,5,1457.01,7285.05,2025-12-26,Cash
CUST106,35,Female,Home & Kitchen,2,1646.23,3292.46,2025-04-09,UPI
CUST107,25,Male,Clothing,2,3771.44,7542.88,2025-05-22,Net Banking
CUST108,51,Female,Electronics,2,7969.16,15938.32,2025-07-04,Debit Card
CUST109,37,Male,Sports,2,2137.89,4275.78,2025-01-28,Net Banking
CUST110,36,Male,Beauty,1,3516.33,3516.33,2025-10-21,UPI
CUST111,48,Female,Beauty,3,900.58,2701.74,2025-01-27,UPI
CUST112,48,Male,Electronics,4,12700.27,50801.08,2025-10-23,Credit Card
CUST113,27,Male,Sports,3,870.71,2612.13,2025-05-08,Credit Card
CUST114,53,Female,Sports,5,5597.96,27989.8,2025-04-26,Net Banking
CUST115,42,Female,Beauty,3,3468.63,10405.89,2025-08-08,UPI
CUST116,54,Male,Sports,1,6648.85,6648.85,2025-04-17,Debit Card
CUST117,34,Male,Clothing,2,1116.92,2233.84,2025-02-08,Debit Card
CUST118,18,Female,Beauty,5,1985.67,9928.35,2025-01-17,Debit Card
CUST119,36,Female,Beauty,1,2812.06,2812.06,2025-05-16,Net Banking
CUST120,60,Male,Beauty,1,2269.34,2269.34,2025-11-28,Debit Card
